"Name","model_weight","test_acc","test_loss"
"random_#_20","0.9223366975784302","",""
"pruning_#_20","0.9223276972770692","69.72605895996094","0.8640776872634888"
"random_#_19","1.1529186964035034","46.64067077636719","1.498950481414795"
"pruning_#_19","1.152909755706787","73.76525115966797","0.7649809122085571"
"random_#_18","1.4411481618881226","49.81003952026367","1.4090791940689087"
"pruning_#_18","1.4411392211914062","78.54429626464844","0.6271136403083801"
"random_#_17","1.8014376163482666","53.37932586669922","1.2788220643997192"
"pruning_#_17","1.8014286756515503","80.65386962890625","0.5675256252288818"
"random_#_16","2.2517991065979004","52.62947463989258","1.3501180410385132"
"pruning_#_16","2.2517900466918945","80.55389404296875","0.6164745688438416"
"random_#_15","2.814751148223877","52.7094612121582","1.3282670974731443"
"pruning_#_15","2.814742088317871","81.47370910644531","0.5630922317504883"
"random_#_14","3.518436908721924","53.14936828613281","1.31328547000885"
"pruning_#_14","3.518427610397339","82.54348754882812","0.5372366309165955"
"random_#_13","4.398038864135742","55.56888961791992","1.2330501079559326"
"pruning_#_13","4.398038864135742","81.94361114501953","0.559363067150116"
"random_#_12","5.497555732727051","58.688262939453125","1.1731514930725098"
"pruning_#_12","5.497546672821045","82.66346740722656","0.5351910591125488"
"random_#_11","6.8719377517700195","55.8188362121582","1.2290987968444824"
"pruning_#_11","6.8719377517700195","82.27354431152344","0.5481242537498474"
"random_#_10","8.58993148803711","54.72905731201172","1.3107036352157593"
"pruning_#_10","8.589921951293945","81.57369232177734","0.569049596786499"
"random_#_9","10.737406730651855","56.538692474365234","1.1959547996520996"
"pruning_#_9","10.737406730651855","80.49390411376953","0.5637778043746948"
"random_#_8","13.421762466430664","55.25895309448242","1.2453254461288452"
"pruning_#_8","13.421762466430664","81.79364013671875","0.5557919144630432"
"random_#_7","16.777198791503906","57.178565979003906","1.2099367380142212"
"pruning_#_7","16.777198791503906","79.76405334472656","0.583771824836731"
"random_#_6","20.971498489379883","58.50830078125","1.1765583753585815"
"pruning_#_6","20.971498489379883","83.22335815429688","0.5054324269294739"
"random_#_5","26.21438217163086","61.42771530151367","1.1009626388549805"
"pruning_#_5","26.21438217163086","79.50410461425781","0.6268894672393799"
"random_#_4","32.767974853515625","59.748050689697266","1.1536126136779783"
"pruning_#_4","32.767974853515625","80.15396881103516","0.6088125705718994"
"random_#_3","40.95996856689453","61.22775650024414","1.0923807621002195"
"pruning_#_3","40.95996856689453","78.97420501708984","0.6282960176467896"
"random_#_2","51.199951171875","59.78804397583008","1.1647417545318604"
"pruning_#_2","51.1999626159668","76.72465515136719","0.6856375336647034"
"random_#_1","63.99993896484375","57.95841217041016","1.237668514251709"
"pruning_#_1","63.99995040893555","70.70586395263672","0.837122917175293"
"random_#_0","79.99993896484375","63.08738708496094","1.0540071725845337"
"pruning_#_0","79.99993896484375","65.25695037841797","0.990565061569214"
"baseline_run","99.99990844726562","49.40011978149414","1.5253183841705322"
