"Name","model_weight","test_acc","test_loss"
"random_#_24","0.3777914047241211","47.02059555053711","1.4391752481460571"
"pruning_#_24","0.3777914047241211","84.85302734375","0.4886037409305573"
"random_#_23","0.4722347855567932","46.77064895629883","1.469699144363403"
"pruning_#_23","0.4722347855567932","85.64287567138672","0.4588586688041687"
"random_#_22","0.5902979373931885","48.760250091552734","1.3803741931915283"
"pruning_#_22","0.5902890563011169","86.19276428222656","0.46134984493255615"
"random_#_21","0.7378658056259155","59.67806625366211","1.1341391801834106"
"pruning_#_21","0.7378658056259155","86.6026840209961","0.4460510015487671"
"random_#_20","0.9223366975784302","64.20716094970703","1.0212901830673218"
"pruning_#_20","0.9223276972770692","86.99260711669922","0.47025489807128906"
"random_#_19","1.1529186964035034","66.89662170410156","0.950212836265564"
"pruning_#_19","1.152909755706787","87.46250915527344","0.5142025947570801"
"random_#_18","1.4411481618881226","67.14657592773438","0.9628958106040956"
"pruning_#_18","1.4411392211914062","87.762451171875","0.5314784646034241"
"random_#_17","1.8014376163482666","70.56588745117188","0.8532636761665344"
"pruning_#_17","1.8014286756515503","87.4525146484375","0.5700078010559082"
"random_#_16","2.2517991065979004","72.74545288085938","0.8081824779510498"
"pruning_#_16","2.2517900466918945","88.63227081298828","0.5257512927055359"
"random_#_15","2.814751148223877","74.97500610351562","0.7435427308082581"
"pruning_#_15","2.814742088317871","88.27234649658203","0.5742747187614441"
"random_#_14","3.518436908721924","74.87503051757812","0.7786009311676025"
"pruning_#_14","3.518427610397339","88.45230865478516","0.588963508605957"
"random_#_13","4.398038864135742","76.30474090576172","0.7484257817268372"
"pruning_#_13","4.398038864135742","89.0921859741211","0.5357168912887573"
"random_#_12","5.497555732727051","76.75464630126953","0.7117289900779724"
"pruning_#_12","5.497546672821045","88.63227081298828","0.5547309517860413"
"random_#_11","6.8719377517700195","77.2645492553711","0.7279670238494873"
"pruning_#_11","6.8719377517700195","88.38233184814453","0.549717366695404"
"random_#_10","8.58993148803711","79.84403228759766","0.6090238094329834"
"pruning_#_10","8.589921951293945","88.38233184814453","0.5289648771286011"
"random_#_9","10.737406730651855","79.22415924072266","0.6612545251846313"
"pruning_#_9","10.737406730651855","89.11217498779297","0.5042241215705872"
"random_#_8","13.421762466430664","78.48430633544922","0.6729780435562134"
"pruning_#_8","13.421762466430664","88.71226501464844","0.5645797848701477"
"random_#_7","16.777198791503906","79.41412353515625","0.6710864305496216"
"pruning_#_7","16.777198791503906","88.12237548828125","0.6317307949066162"
"random_#_6","20.971498489379883","82.6834716796875","0.5368273258209229"
"pruning_#_6","20.971498489379883","88.19236755371094","0.6051788926124573"
"random_#_5","26.21438217163086","78.12437438964844","0.7699039578437805"
"pruning_#_5","26.21438217163086","87.98240661621094","0.6033489108085632"
"random_#_4","32.767974853515625","82.25355529785156","0.5910364985466003"
"pruning_#_4","32.767974853515625","88.05239868164062","0.5803626775741577"
"random_#_3","40.95996856689453","80.33393859863281","0.6059925556182861"
"pruning_#_3","40.95996856689453","87.21256256103516","0.5590322613716125"
"random_#_2","51.199951171875","82.91342163085938","0.5563514828681946"
"pruning_#_2","51.1999626159668","87.9924087524414","0.5271070599555969"
"random_#_1","63.99993896484375","81.84363555908203","0.6083863377571106"
"pruning_#_1","63.99995040893555","85.9128189086914","0.6229287385940552"
"random_#_0","79.99993896484375","80.61388397216797","0.6339532136917114"
"pruning_#_0","79.99993896484375","85.69286346435547","0.5374346971511841"
"baseline_run","99.99990844726562","80.2039566040039","0.735039234161377"
